key,enabled,identity,password,username
user-account-technician-02,true,"UserIdentity{name: 'Rodolfo', surname: 'Suárez', email: 'suarez@acme.com'}",technician2,technician2
user-account-technician-03,true,"UserIdentity{name: 'New', surname: 'Technician', email: 'newtechnician@acme.com'}",technician3,technician3
user-account-customer-01,true,"UserIdentity{name: 'New', surname: 'Customer1', email: 'newcustomer1@acme.com'}",customer1,customer1
user-account-customer-02,true,"UserIdentity{name: 'New', surname: 'Customer2', email: 'newcustomer2@acme.com'}",customer2,customer2
user-account-customer-03,true,"UserIdentity{name: 'New', surname: 'Customer3', email: 'newcustomer1@acme.com'}",customer3,customer3
user-account-customer-04,true,"UserIdentity{name: 'Cliente', surname: 'Cuatro', email: 'customer4@acme.com'}",customer4,customer4
user-account-customer-05,true,"UserIdentity{name: 'Cliente', surname: 'Cinco', email: 'customer5@acme.com'}",customer5,customer5
user-account-customer-06,true,"UserIdentity{name: 'Cliente', surname: 'Seis', email: 'customer6@acme.com'}",customer6,customer6
user-account-customer-07,true,"UserIdentity{name: 'Cliente', surname: 'Siete', email: 'customer7@acme.com'}",customer7,customer7
user-account-customer-08,true,"UserIdentity{name: 'Cliente', surname: 'Ocho', email: 'customer8@acme.com'}",customer8,customer8
user-account-customer-09,true,"UserIdentity{name: 'Cliente', surname: 'Nueve', email: 'customer9@acme.com'}",customer9,customer9
user-account-customer-10,true,"UserIdentity{name: 'Cliente', surname: 'Diez', email: 'customer10@acme.com'}",customer10,customer10
user-account-customer-11,true,"UserIdentity{name: 'Cliente', surname: 'Once', email: 'customer11@acme.com'}",customer11,customer11
user-account-customer-12,true,"UserIdentity{name: 'Cliente', surname: 'Doce', email: 'customer12@acme.com'}",customer12,customer12
user-account-customer-13,true,"UserIdentity{name: 'Cliente', surname: 'Trece', email: 'customer13@acme.com'}",customer13,customer13
user-account-customer-14,true,"UserIdentity{name: 'Cliente', surname: 'Catorce', email: 'customer14@acme.com'}",customer14,customer14
user-account-customer-15,true,"UserIdentity{name: 'Cliente', surname: 'Quince', email: 'customer15@acme.com'}",customer15,customer15
user-account-customer-16,true,"UserIdentity{name: 'Cliente', surname: 'Dieciséis', email: 'customer16@acme.com'}",customer16,customer16
user-account-customer-17,true,"UserIdentity{name: 'Cliente', surname: 'Diecisiete', email: 'customer17@acme.com'}",customer17,customer17
user-account-customer-18,true,"UserIdentity{name: 'Cliente', surname: 'Dieciocho', email: 'customer18@acme.com'}",customer18,customer18
user-account-customer-19,true,"UserIdentity{name: 'Cliente', surname: 'Diecinueve', email: 'customer19@acme.com'}",customer19,customer19
user-account-customer-20,true,"UserIdentity{name: 'Cliente', surname: 'Veinte', email: 'customer20@acme.com'}",customer20,customer20
user-account-customer-21,true,"UserIdentity{name: 'Cliente', surname: 'Veintiuno', email: 'customer21@acme.com'}",customer21,customer21
user-account-customer-22,true,"UserIdentity{name: 'Cliente', surname: 'Veintidós', email: 'customer22@acme.com'}",customer22,customer22
user-account-customer-23,true,"UserIdentity{name: 'Cliente', surname: 'Veintitrés', email: 'customer23@acme.com'}",customer23,customer23
user-account-customer-24,true,"UserIdentity{name: 'Cliente', surname: 'Veinticuatro', email: 'customer24@acme.com'}",customer24,customer24
user-account-customer-25,true,"UserIdentity{name: 'Cliente', surname: 'Veinticinco', email: 'customer25@acme.com'}",customer25,customer25
user-account-customer-26,true,"UserIdentity{name: 'Cliente', surname: 'Veintiséis', email: 'customer26@acme.com'}",customer26,customer26
